,HaulLat,HaulLong,Year,Distance,BottomDepth,Plastic_Weight
270,54.573,14.498,2016,2768,25,0
271,54.5733,14.4952,2017,2807,19,0
272,54.5743,14.0808,2015,2880,19,0
273,54.5757,14.6877,2014,2770,34,0
274,54.5767,19.3667,2016,2910,80,0.1928
275,54.5768,14.6832,2012,2939,35,0
276,54.5785,14.4878,2017,2881,26,0.03
277,54.579,14.6748,2015,2821,35,0
278,54.5794,14.6845,2016,3136,34,0
279,54.5795,12.4318,2013,2854,16,0
280,54.5841,14.6853,2017,2835,37,0
281,54.586,12.4482,2017,2989,18,0
282,54.5862,13.7405,2017,2782,25,0.239
283,54.5868,12.447,2014,2776,17,0
284,54.5882,12.6018,2017,2812,13,0
285,54.5887,11.238,2015,3261,27,0
286,54.589,11.2406,2015,2600,27,0.3
287,54.589,12.6003,2014,2806,13,0
288,54.5895,12.4515,2015,2808,17,0
289,54.5943,11.2357,2012,2557,26,0
290,54.5986,11.2197,2017,2844,27,0
291,54.5993,10.6502,2017,2774,23,0
292,54.6,10.6642,2013,2632,21,0
293,54.6005,14.614,2013,2762,34,0.152
294,54.6016,10.6563,2013,2198,21,0
295,54.6017,19.2067,2017,2830,83,0.0108
296,54.6033,19.2117,2017,2752,83,0.0254
297,54.6038,12.6005,2012,2783,16,0
298,54.604,10.6498,2016,2815,21,0
299,54.6095,11.2289,2014,2102,25,0
300,54.61,15.515,2015,2501,60,0
301,54.6105,11.1243,2016,3126,27,0.002
302,54.6106,11.1765,2016,2782,26,0
303,54.6113,14.4085,2014,2754,28,0
304,54.6158,10.665,2015,NA,21,0
305,54.62,15.9183,2017,2732,54,0.1012
306,54.6206,10.649,2017,2917,23,0
307,54.6233,16.0533,2015,2469,48,0.0244
308,54.6233,16.055,2016,2688,49,0.029
309,54.6242,10.6473,2014,2424,20,0
310,54.6252,12.9297,2016,2673,15,0
311,54.6252,14.9794,2016,NA,47,0.034
312,54.6253,12.9327,2013,2816,16,0
313,54.6267,14.76,2017,2720,48,0.1104
314,54.6267,16.0617,2017,2574,49,0.05
315,54.6272,12.6435,2013,2720,19,0
316,54.6273,14.7705,2015,2761,49,0
317,54.6282,10.6555,2012,2459,21,0
318,54.6287,12.9618,2014,2697,16,0
319,54.6292,12.9677,2015,2813,16,0
320,54.6298,10.337,2015,2824,20,0
321,54.631,14.1973,2015,3035,30,0
322,54.6317,14.1957,2016,2820,29,0
323,54.6337,14.7677,2014,2826,46,0
324,54.6338,14.7677,2012,2960,47,0
325,54.6344,14.766,2016,2946,46,0
326,54.635,15.9083,2016,2648,55,0.189
327,54.6358,14.1878,2012,2871,30,0.214
328,54.6358,14.766,2015,2820,47,0
329,54.6367,14.7663,2014,2826,47,0
330,54.6373,12.2093,2015,2771,19,0
331,54.638,12.21,2014,2757,19,1.094
332,54.6382,12.6802,2012,2834,18,0
333,54.6396,10.3554,2013,2220,20,0
334,54.6398,13.8247,2017,2818,25,0.048
335,54.6417,16.3717,2016,2882,33,0.55
336,54.645,16.3767,2016,2698,33,0
337,54.6452,12.1662,2012,2771,19,0.052
338,54.6465,14.1637,2014,2812,27,0
339,54.6467,16.3783,2015,2950,31,0
340,54.6483,14.1595,2013,2840,28,0
341,54.6483,19.0233,2015,2785,82,0
342,54.6488,14.1645,2016,3012,28,0.022
343,54.6492,14.158,2014,2805,28,0.242
344,54.6492,14.1588,2017,3175,29,0
345,54.65,14.1563,2013,2986,29,0
346,54.6533,16.41,2017,2789,32,0
347,54.6536,15.0976,2015,2782,58,0
348,54.6537,15.1294,2013,2774,58,0
349,54.654,15.1195,2015,NA,57,0.1
350,54.6542,12.7185,2017,2743,19,0.034
351,54.6542,15.1044,2016,NA,58,0.158
352,54.6557,10.3659,2014,NA,20,0
353,54.6563,14.6762,2014,2784,50,0
354,54.6567,16.4133,2017,2698,33,0.0012
355,54.6642,14.6087,2015,2820,49,0.1
356,54.665,14.8127,2012,2918,55,0
357,54.6657,12.2202,2013,2690,19,0.014
358,54.666,12.2227,2015,2986,19,0
359,54.6663,12.2247,2014,2714,19,0.002
360,54.6667,15.605,2016,2686,67,0.001
361,54.6672,12.7417,2014,2741,18,0
362,54.6683,15.92,2016,2834,54,0.05
363,54.6683,18.825,2016,2428,68,0.025
364,54.6687,14.6135,2016,2803,48,0.006
365,54.6688,14.634,2012,2743,50,0.004
366,54.6688,15.5882,2016,NA,66,0.006
367,54.6692,14.6138,2014,2741,48,0.004
368,54.6708,15.5951,2017,NA,67,0
