,HaulLat,HaulLong,Year,Distance,Plastic_Weight
228,54.5388,13.9613,2015,3107,0
229,54.5389,10.147,2017,2932,0.454
230,54.54,15.4933,2016,2717,0
231,54.5417,14.8617,2017,2919,0.0954
232,54.5417,15.685,2017,2614,0.0092
233,54.5417,15.9983,2016,2785,0.07
234,54.5417,18.945,2016,2756,0.015
235,54.5419,11.3992,2013,2435,0
236,54.5423,13.8013,2014,2761,0.14
237,54.5433,15.475,2015,3118,0.0429
238,54.5435,13.8002,2015,2639,0.441
239,54.5436,11.3915,2016,2827,0
240,54.5475,11.3764,2014,2326,0
241,54.5483,15.4667,2017,1954,0
242,54.5493,10.7513,2016,2798,0
243,54.5493,11.3649,2014,NA,0
244,54.5493,13.8015,2013,2784,0
245,54.551,11.4072,2012,2476,0
246,54.5513,10.7583,2012,2635,0
247,54.5526,10.1768,2015,2485,0
248,54.5543,10.1755,2015,2721,0
249,54.5544,10.1755,2017,2751,0.001
250,54.555,15.4433,2016,2893,0.007
251,54.555,15.96,2017,2739,0.0074
252,54.5567,10.1802,2016,2815,0.105
253,54.5593,13.8005,2015,2827,0
254,54.5593,13.8013,2014,2708,0
255,54.5598,11.3582,2017,2864,0
256,54.56,14.9867,2016,2748,0.1465
257,54.56,15.965,2017,3169,0.2448
258,54.5633,14.7383,2017,2956,0
259,54.5633,14.9883,2017,2697,0
260,54.5633,15.8067,2017,2403,0.5314
261,54.5647,14.725,2015,2979,0
262,54.565,15.8133,2015,2614,0.0057
263,54.5663,12.4057,2016,2864,0.004
264,54.5667,15.645,2017,2855,0.2296
265,54.5675,14.5178,2015,3227,0
266,54.5675,14.7187,2013,2835,0.06
267,54.5705,14.4523,2015,2802,0
268,54.5705,14.4528,2013,2739,0
269,54.5705,14.4528,2014,2773,0
270,54.573,14.498,2016,2768,0
271,54.5733,14.4952,2017,2807,0
272,54.5743,14.0808,2015,2880,0
273,54.5757,14.6877,2014,2770,0
274,54.5767,19.3667,2016,2910,0.1928
275,54.5768,14.6832,2012,2939,0
276,54.5785,14.4878,2017,2881,0.03
277,54.579,14.6748,2015,2821,0
278,54.5794,14.6845,2016,3136,0
279,54.5795,12.4318,2013,2854,0
280,54.5841,14.6853,2017,2835,0
281,54.586,12.4482,2017,2989,0
282,54.5862,13.7405,2017,2782,0.239
283,54.5868,12.447,2014,2776,0
284,54.5882,12.6018,2017,2812,0
285,54.5887,11.238,2015,3261,0
286,54.589,11.2406,2015,2600,0.3
287,54.589,12.6003,2014,2806,0
